Rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
121,6/12/2015,Inside Out, 175000000, 356461711, 852830107
122,7/5/2017,Spider-Man: Homecoming, 175000000, 334201140, 878346440
123,8/2/2016,Suicide Squad, 175000000, 325100054, 745744980
124,5/28/2009,Up, 175000000, 293004164, 731463377
125,10/27/2017,Coco, 175000000, 210460015, 797666425
126,11/21/2018,Ralph Breaks The Internet, 175000000, 201091711, 529290830
127,3/27/2009,Monsters vs. Aliens, 175000000, 198351526, 381687380
128,6/16/2017,Cars 3, 175000000, 152901115, 383541369
129,8/7/2009,G.I. Joe: The Rise of Cobra, 175000000, 150201498, 302469017
130,6/30/1999,Wild Wild West, 175000000, 113805681, 221229335
131,8/1/2008,The Mummy: Tomb of the Dragon Emperor, 175000000, 102491776, 405760225
132,6/22/2007,Evan Almighty, 175000000, 100289690, 174131329
133,7/28/1995,Waterworld, 175000000, 88246220, 264246220
134,1/8/2020,Dolittle, 175000000, 77047065, 251409960
135,5/11/2017,King Arthur: Legend of the Sword, 175000000, 39175066, 139630336
136,12/6/2013,47 Ronin, 175000000, 38362475, 151716815
137,3/10/2022,Turning Red, 175000000, 0, 11100000
138,6/6/2018,Jurassic World: Fallen Kingdom, 170000000, 417719760, 1308334005
139,7/31/2014,Guardians of the Galaxy, 170000000, 333714112, 770882395
140,5/7/2010,Iron Man 2, 170000000, 312433331, 621156389
141,3/28/2014,Captain America: The Winter Soldier, 170000000, 259746958, 714401889
142,7/9/2014,Dawn of the Planet of the Apes, 170000000, 208545589, 710644566
143,11/10/2004,The Polar Express, 170000000, 188578855, 312719437
144,5/30/2012,Snow White and the Huntsman, 170000000, 155136755, 401021746
145,7/1/2003,Terminator 3: Rise of the Machines, 170000000, 150358296, 433058296
146,5/5/2004,Van Helsing, 170000000, 120150546, 300150546
147,3/27/2019,Dumbo, 170000000, 114766307, 353166307
148,5/29/2019,Godzilla: King of the Monsters, 170000000, 110500138, 383299915
149,5/20/2015,Tomorrowland, 170000000, 93436322, 206627518
